item_id,order_id,product_id,quantity,unit_price,line_total
1,1,11,4,351.46,1405.84
2,1,27,3,464.1,1392.3
3,1,36,2,298.0,596.0
4,1,5,2,273.33,546.66
5,1,42,3,146.77,440.31
6,2,18,5,126.25,631.25
7,3,5,3,488.02,1464.06
8,3,47,5,496.38,2481.9
9,3,42,3,357.14,1071.42
10,3,31,1,325.71,325.71
11,3,40,4,125.72,502.88
12,4,7,1,410.5,410.5
13,4,33,1,422.02,422.02
14,4,17,2,418.96,837.92
15,4,11,5,164.39,821.95
16,4,45,5,304.01,1520.05
17,5,49,1,72.98,72.98
18,6,31,1,475.19,475.19
19,6,32,5,334.37,1671.85
20,7,40,1,450.36,450.36
21,8,3,5,338.69,1693.45
22,8,49,3,96.96,290.88
23,8,30,3,66.86,200.58
24,8,32,3,395.53,1186.59
25,8,12,2,347.07,694.14
26,9,35,1,108.89,108.89
27,9,20,4,311.91,1247.64
28,9,10,2,354.01,708.02
29,9,11,5,38.71,193.55
30,10,46,1,470.45,470.45
31,10,17,1,183.82,183.82
32,10,46,3,306.37,919.11
33,11,49,2,42.82,85.64
34,12,2,3,301.06,903.18
35,12,34,2,70.05,140.1
36,12,1,3,283.06,849.18
37,12,6,5,89.5,447.5
38,13,8,2,47.91,95.82
39,13,31,1,39.1,39.1
40,13,5,5,230.62,1153.1
41,14,22,1,41.6,41.6
42,14,31,1,184.8,184.8
43,14,41,3,64.24,192.72
44,15,27,4,251.77,1007.08
45,15,32,3,404.77,1214.31
46,15,34,1,175.79,175.79
47,16,13,2,434.7,869.4
48,16,4,1,443.95,443.95
49,16,48,2,115.3,230.6
50,17,40,5,384.4,1922.0
51,17,38,4,193.24,772.96
52,18,23,5,66.09,330.45
53,19,14,2,312.87,625.74
54,19,40,3,193.81,581.43
55,19,35,1,159.7,159.7
56,19,33,2,28.94,57.88
57,20,49,5,60.24,301.2
58,20,35,5,275.31,1376.55
59,20,47,2,41.16,82.32
60,21,15,3,196.84,590.52
61,21,2,5,390.03,1950.15
62,21,38,3,258.06,774.18
63,21,37,3,313.3,939.9
64,22,37,5,164.41,822.05
65,22,38,4,103.31,413.24
66,22,33,1,320.92,320.92
67,23,4,4,155.71,622.84
68,23,28,2,166.68,333.36
69,24,8,4,305.99,1223.96
70,24,13,3,55.91,167.73
71,24,5,4,60.03,240.12
72,25,28,3,130.41,391.23
73,25,35,1,393.2,393.2
74,25,31,5,29.72,148.6
75,25,14,4,137.11,548.44
76,25,4,3,295.61,886.83
77,26,40,2,434.05,868.1
78,26,31,1,469.34,469.34
79,27,24,2,122.93,245.86
80,27,38,5,387.82,1939.1
81,27,36,5,34.75,173.75
82,27,47,1,498.39,498.39
83,28,17,1,147.31,147.31
84,28,35,3,106.17,318.51
85,28,33,2,95.22,190.44
86,28,7,3,462.29,1386.87
87,29,47,5,412.14,2060.7
88,29,18,2,5.52,11.04
89,29,4,5,64.86,324.3
90,30,16,3,356.64,1069.92
91,30,10,4,296.08,1184.32
92,30,14,2,267.21,534.42
93,30,3,2,383.24,766.48
94,31,41,3,255.99,767.97
95,31,20,5,362.74,1813.7
96,31,33,1,323.71,323.71
97,31,44,4,219.5,878.0
98,32,48,5,249.64,1248.2
99,33,32,3,488.0,1464.0
100,33,5,1,285.04,285.04
101,33,49,1,425.64,425.64
102,34,8,2,428.7,857.4
103,34,42,2,390.88,781.76
104,34,1,2,118.48,236.96
105,35,32,1,214.65,214.65
106,35,21,5,213.13,1065.65
107,35,48,1,476.09,476.09
108,36,33,1,54.35,54.35
109,36,6,2,410.95,821.9
110,36,1,5,454.19,2270.95
111,37,2,1,413.66,413.66
112,37,44,3,250.7,752.1
113,38,36,3,338.8,1016.4
114,39,25,2,480.73,961.46
115,40,43,3,323.06,969.18
116,40,13,3,328.01,984.03
117,40,41,2,251.58,503.16
118,40,17,3,410.59,1231.77
119,40,15,2,131.42,262.84
120,41,10,5,19.74,98.7
121,41,14,2,25.84,51.68
122,41,14,5,138.26,691.3
123,41,30,3,43.39,130.17
124,42,38,4,279.01,1116.04
125,43,39,5,228.2,1141.0
126,43,50,1,215.98,215.98
127,44,26,1,241.77,241.77
128,44,15,1,249.08,249.08
129,45,11,5,419.32,2096.6
130,45,4,4,295.34,1181.36
131,45,43,4,253.12,1012.48
132,45,7,5,498.49,2492.45
133,45,28,2,186.44,372.88
134,46,5,5,363.81,1819.05
135,47,46,1,310.06,310.06
136,47,31,3,97.47,292.41
137,48,9,1,309.38,309.38
138,49,34,2,16.4,32.8
139,49,22,3,371.17,1113.51
140,49,15,3,257.63,772.89
141,49,10,4,150.9,603.6
142,49,4,1,99.25,99.25
143,50,19,3,263.13,789.39
144,50,23,1,153.4,153.4
145,50,17,3,9.75,29.25
146,50,33,2,336.35,672.7
147,50,29,2,92.0,184.0
148,51,5,1,209.47,209.47
149,51,22,4,21.52,86.08
150,51,9,4,426.57,1706.28
151,51,36,4,477.9,1911.6
152,51,41,4,322.1,1288.4
153,52,30,5,338.23,1691.15
154,52,29,3,377.47,1132.41
155,52,11,4,173.7,694.8
156,52,4,1,114.21,114.21
157,53,11,1,335.5,335.5
158,53,15,1,363.15,363.15
159,54,29,3,259.99,779.97
160,54,24,1,337.62,337.62
161,54,6,3,494.94,1484.82
162,54,29,5,178.48,892.4
163,55,22,3,91.29,273.87
164,55,32,5,347.62,1738.1
165,55,43,4,24.32,97.28
166,55,49,5,38.36,191.8
167,55,3,4,284.3,1137.2
168,56,37,3,417.07,1251.21
169,56,18,5,279.26,1396.3
170,56,40,2,394.25,788.5
171,57,6,5,448.18,2240.9
172,57,6,3,176.45,529.35
173,57,34,1,275.83,275.83
174,57,44,3,328.56,985.68
175,58,49,1,486.48,486.48
176,58,9,4,339.49,1357.96
177,58,1,5,386.99,1934.95
178,58,42,2,273.9,547.8
179,59,11,1,43.92,43.92
180,59,35,5,116.94,584.7
181,59,18,1,134.26,134.26
182,59,42,5,240.69,1203.45
183,59,48,2,144.65,289.3
184,60,22,1,80.62,80.62
185,60,38,2,241.65,483.3
186,61,31,5,256.31,1281.55
187,61,29,1,387.88,387.88
188,61,16,5,209.15,1045.75
189,62,16,5,112.16,560.8
190,62,37,3,459.85,1379.55
191,63,49,4,443.23,1772.92
192,63,1,1,266.36,266.36
193,64,8,4,243.05,972.2
194,64,24,4,334.26,1337.04
195,64,22,4,289.97,1159.88
196,65,46,2,74.33,148.66
197,65,26,3,98.66,295.98
198,65,49,4,110.96,443.84
199,65,2,5,125.06,625.3
200,66,41,4,112.58,450.32
201,67,37,3,24.24,72.72
202,67,22,2,150.72,301.44
203,68,10,2,21.55,43.1
204,68,39,4,416.52,1666.08
205,69,33,1,113.93,113.93
206,70,35,3,408.63,1225.89
207,70,15,2,64.49,128.98
208,70,16,3,231.61,694.83
209,71,22,4,387.11,1548.44
210,71,16,4,114.45,457.8
211,71,7,1,111.78,111.78
212,72,9,3,290.95,872.85
213,72,50,1,207.09,207.09
214,72,16,1,333.63,333.63
215,72,48,1,378.06,378.06
216,72,49,4,395.89,1583.56
217,73,16,4,28.0,112.0
218,73,9,1,276.14,276.14
219,73,6,2,486.0,972.0
220,74,31,2,244.73,489.46
221,75,12,4,66.64,266.56
222,75,16,5,221.72,1108.6
223,75,39,5,214.89,1074.45
224,76,29,1,497.36,497.36
225,76,25,3,401.79,1205.37
226,77,7,5,337.3,1686.5
227,77,3,1,287.04,287.04
228,78,15,4,63.12,252.48
229,78,6,2,22.4,44.8
230,78,3,5,328.46,1642.3
231,78,19,2,150.17,300.34
232,79,42,5,357.63,1788.15
233,80,50,4,404.4,1617.6
234,80,47,3,309.09,927.27
235,81,40,4,155.87,623.48
236,81,21,2,125.42,250.84
237,81,50,5,329.05,1645.25
238,81,10,4,105.74,422.96
239,82,16,1,426.7,426.7
240,83,46,3,234.19,702.57
241,83,43,4,321.27,1285.08
242,84,42,3,179.24,537.72
243,84,40,4,55.29,221.16
244,84,4,4,254.39,1017.56
245,84,3,1,350.82,350.82
246,84,48,4,378.72,1514.88
247,85,41,1,248.27,248.27
248,85,8,1,84.71,84.71
249,85,22,2,59.37,118.74
250,85,14,4,229.36,917.44
251,86,29,1,466.53,466.53
252,87,31,4,345.19,1380.76
253,88,44,1,21.89,21.89
254,88,17,5,183.37,916.85
255,88,16,1,36.72,36.72
256,88,31,5,85.13,425.65
257,89,40,1,295.59,295.59
258,89,15,2,466.25,932.5
259,89,42,2,400.21,800.42
260,90,27,4,270.44,1081.76
261,90,12,4,26.41,105.64
262,91,17,2,238.92,477.84
263,92,4,2,310.92,621.84
264,92,28,1,192.64,192.64
265,92,4,2,383.57,767.14
266,93,24,3,438.02,1314.06
267,94,9,3,454.86,1364.58
268,95,33,2,176.21,352.42
269,96,33,2,206.83,413.66
270,96,13,2,289.57,579.14
271,96,32,3,146.9,440.7
272,97,12,2,44.27,88.54
273,97,15,4,121.58,486.32
274,98,22,3,391.4,1174.2
275,99,45,2,65.79,131.58
276,99,7,2,473.08,946.16
277,99,32,1,44.46,44.46
278,99,26,3,479.33,1437.99
279,100,1,4,293.14,1172.56
280,100,5,3,279.41,838.23
281,100,50,1,27.32,27.32
282,100,37,5,159.01,795.05
283,100,35,1,219.61,219.61
284,101,47,1,264.68,264.68
285,101,31,1,405.72,405.72
286,101,21,3,38.86,116.58
287,101,29,1,314.33,314.33
288,101,11,3,31.23,93.69
289,102,33,3,189.35,568.05
290,102,48,5,362.65,1813.25
291,103,10,3,256.49,769.47
292,104,45,3,218.83,656.49
293,104,45,4,431.73,1726.92
294,105,20,1,448.15,448.15
295,105,44,3,282.36,847.08
296,105,32,4,198.0,792.0
297,105,37,5,15.52,77.6
298,105,6,2,452.45,904.9
299,106,21,4,257.48,1029.92
300,107,23,2,449.38,898.76
301,107,10,4,276.05,1104.2
302,108,14,4,409.91,1639.64
303,108,31,2,265.97,531.94
304,108,46,2,412.95,825.9
305,108,16,1,486.91,486.91
306,109,41,2,185.32,370.64
307,109,11,3,265.99,797.97
308,109,2,2,336.97,673.94
309,110,5,1,380.95,380.95
310,110,27,2,127.1,254.2
311,110,6,1,232.61,232.61
312,110,27,1,30.48,30.48
313,111,5,4,252.62,1010.48
314,112,5,1,351.01,351.01
315,112,18,1,421.74,421.74
316,112,48,4,12.49,49.96
317,112,32,1,184.71,184.71
318,112,41,2,196.4,392.8
319,113,13,4,188.0,752.0
320,113,2,1,266.82,266.82
321,113,4,4,109.88,439.52
322,113,7,5,41.05,205.25
323,113,23,5,404.22,2021.1
324,114,16,4,202.09,808.36
325,115,15,5,338.31,1691.55
326,115,34,3,166.32,498.96
327,115,27,2,126.47,252.94
328,115,7,2,127.11,254.22
329,116,20,5,376.32,1881.6
330,116,45,1,399.67,399.67
331,116,24,1,325.72,325.72
332,116,13,3,296.99,890.97
333,116,33,2,448.92,897.84
334,117,6,4,145.16,580.64
335,117,19,1,210.27,210.27
336,117,47,1,155.97,155.97
337,117,15,1,281.85,281.85
338,118,15,2,442.25,884.5
339,118,41,1,351.29,351.29
340,118,12,3,494.93,1484.79
341,118,20,4,33.52,134.08
342,118,8,4,468.48,1873.92
343,119,37,1,390.14,390.14
344,119,42,4,202.32,809.28
345,119,50,1,340.42,340.42
346,119,38,3,205.13,615.39
347,119,8,1,66.19,66.19
348,120,13,4,310.98,1243.92
349,121,42,2,225.69,451.38
350,121,4,3,365.47,1096.41
351,121,13,4,480.84,1923.36
352,121,50,2,237.34,474.68
353,121,30,5,418.05,2090.25
354,122,38,4,116.51,466.04
355,122,36,4,183.84,735.36
356,122,12,4,230.51,922.04
357,122,10,5,480.02,2400.1
358,122,37,2,369.74,739.48
359,123,49,2,470.39,940.78
360,123,13,5,136.55,682.75
361,123,5,4,173.73,694.92
362,123,45,4,349.22,1396.88
363,124,9,4,135.67,542.68
364,125,45,4,138.94,555.76
365,126,25,3,338.86,1016.58
366,127,29,4,84.32,337.28
367,128,20,2,56.26,112.52
368,129,50,3,156.85,470.55
369,129,6,5,256.17,1280.85
370,130,23,2,414.93,829.86
371,130,47,2,465.67,931.34
372,130,39,1,486.25,486.25
373,130,23,1,99.65,99.65
374,131,16,1,123.42,123.42
375,131,48,4,420.97,1683.88
376,132,39,2,82.35,164.7
377,132,37,2,215.61,431.22
378,132,30,2,76.35,152.7
379,133,24,5,41.15,205.75
380,133,44,3,343.49,1030.47
381,133,4,4,61.25,245.0
382,134,25,1,81.37,81.37
383,134,38,3,267.46,802.38
384,134,48,5,378.64,1893.2
385,135,8,4,266.04,1064.16
386,135,17,2,139.65,279.3
387,135,32,5,386.13,1930.65
388,135,6,5,40.72,203.6
389,135,20,2,47.9,95.8
390,136,17,5,167.78,838.9
391,136,42,1,87.12,87.12
392,136,16,3,318.24,954.72
393,137,10,1,308.74,308.74
