order_id,user_id,order_date,status,total_amount,total_amount
1,44,2025-04-24,cancelled,0.0,4381.11
2,27,2025-03-02,pending,0.0,631.25
3,41,2025-01-18,pending,0.0,5845.97
4,30,2025-08-18,shipped,0.0,4012.44
5,43,2024-12-09,cancelled,0.0,72.98
6,48,2025-02-18,completed,0.0,2147.04
7,33,2025-09-02,pending,0.0,450.36
8,33,2024-12-25,shipped,0.0,4065.64
9,35,2025-03-24,pending,0.0,2258.1
10,46,2025-04-08,shipped,0.0,1573.38
11,41,2025-10-30,pending,0.0,85.64
12,7,2025-09-25,shipped,0.0,2339.96
13,10,2025-02-14,cancelled,0.0,1288.02
14,34,2025-02-14,pending,0.0,419.12
15,27,2024-12-17,shipped,0.0,2397.18
16,18,2025-03-31,completed,0.0,1543.95
17,25,2025-03-13,cancelled,0.0,2694.96
18,2,2025-07-25,pending,0.0,330.45
19,39,2025-05-28,pending,0.0,1424.75
20,40,2025-01-05,completed,0.0,1760.07
21,42,2025-07-27,cancelled,0.0,4254.75
22,19,2024-12-30,cancelled,0.0,1556.21
23,24,2025-06-02,cancelled,0.0,956.2
24,42,2025-10-06,pending,0.0,1631.81
25,28,2025-04-28,pending,0.0,2368.3
26,8,2024-12-27,cancelled,0.0,1337.44
27,22,2025-05-17,completed,0.0,2857.1
28,10,2024-12-11,completed,0.0,2043.13
29,24,2025-04-15,cancelled,0.0,2396.04
30,16,2025-04-11,cancelled,0.0,3555.14
31,33,2025-03-06,shipped,0.0,3783.38
32,48,2025-10-08,shipped,0.0,1248.2
33,44,2024-12-28,pending,0.0,2174.68
34,9,2025-10-21,cancelled,0.0,1876.12
35,28,2024-11-28,cancelled,0.0,1756.39
36,1,2025-08-31,pending,0.0,3147.2
37,39,2025-05-01,cancelled,0.0,1165.76
38,46,2025-09-07,pending,0.0,1016.4
39,9,2025-04-15,pending,0.0,961.46
40,35,2025-07-22,completed,0.0,3950.98
41,6,2025-05-17,pending,0.0,971.85
42,50,2025-03-06,pending,0.0,1116.04
43,16,2025-01-29,cancelled,0.0,1356.98
44,24,2025-10-04,shipped,0.0,490.85
45,8,2025-08-12,shipped,0.0,7155.77
46,37,2025-07-13,completed,0.0,1819.05
47,35,2024-12-27,completed,0.0,602.47
48,4,2025-05-17,shipped,0.0,309.38
49,46,2025-11-07,completed,0.0,2622.05
50,21,2025-03-31,completed,0.0,1828.74
51,47,2025-10-20,pending,0.0,5201.83
52,18,2025-02-15,cancelled,0.0,3632.57
