product_id,name,category,price,in_stock
1,Compare Receive,books,319.2,173
2,Stock Choice,electronics,109.4,471
3,Determine Trial,electronics,290.38,243
4,While About,electronics,413.77,326
5,Out Yourself,clothing,462.94,172
6,Help Do,electronics,212.86,30
7,Woman Teacher,clothing,338.58,16
8,Project Me,clothing,436.8,209
9,Evening Page,electronics,324.17,273
10,Air Explain,clothing,352.46,188
11,Significant Send,home,418.1,462
12,Real Site,electronics,444.77,241
13,Maybe Exist,home,43.24,376
14,After Range,books,435.06,262
15,Find Senior,books,164.5,245
16,Career Where,home,274.19,379
17,Fact Result,home,203.52,348
18,Glass Break,toys,457.45,77
19,Upon Quickly,books,81.31,11
20,Nice Instead,books,22.86,481
21,Able Baby,books,41.73,322
22,Free Idea,clothing,175.41,303
23,Point Despite,clothing,199.52,347
24,Me Movement,home,459.64,226
25,Loss North,electronics,223.38,440
26,Yet Catch,toys,105.95,316
27,Attack Personal,books,491.75,185
28,Manage View,toys,378.76,350
29,Foreign Especially,toys,232.06,351
30,Thus Blue,clothing,258.4,452
31,Buy Area,books,399.6,204
32,Bad Method,home,338.15,298
33,Beyond Society,electronics,107.12,142
34,Message Board,home,381.98,367
35,Recently West,home,420.68,111
36,Read Charge,toys,281.27,38
37,Market Hospital,electronics,146.61,452
38,Day Serve,books,94.08,380
39,Him Other,clothing,242.33,149
40,Ask World,toys,280.24,390
41,Focus Institution,home,209.65,365
42,Commercial Long,clothing,380.09,451
43,Imagine Together,home,248.66,60
44,Expert Herself,clothing,322.45,355
45,Film Way,books,478.12,453
46,Draw Issue,books,64.87,225
47,Product High,home,228.17,144
48,Like Add,clothing,496.24,494
49,Product Especially,electronics,454.92,360
50,Easy Off,clothing,66.16,159
